state,district,population
Selangor,Gombak,980.3
Selangor,Gombak,65.3
Selangor,Gombak,74.8
Selangor,Gombak,69.6
Selangor,Gombak,68.4
Selangor,Gombak,81.3
Selangor,Gombak,78.7
Selangor,Gombak,85.4
Selangor,Gombak,98.5
Selangor,Gombak,85.6
Selangor,Gombak,63.1
Selangor,Gombak,53.8
Selangor,Gombak,44.2
Selangor,Gombak,36.4
Selangor,Gombak,28.9
Selangor,Gombak,22.1
Selangor,Gombak,14.0
Selangor,Gombak,5.6
Selangor,Gombak,4.5
Selangor,Gombak,511.8
Selangor,Gombak,33.4
Selangor,Gombak,38.3
Selangor,Gombak,36.4
Selangor,Gombak,35.4
Selangor,Gombak,44.7
Selangor,Gombak,44.4
Selangor,Gombak,44.9
Selangor,Gombak,49.9
Selangor,Gombak,44.1
Selangor,Gombak,33.5
Selangor,Gombak,28.0
Selangor,Gombak,22.8
Selangor,Gombak,18.9
Selangor,Gombak,14.6
Selangor,Gombak,11.0
Selangor,Gombak,6.3
Selangor,Gombak,2.7
Selangor,Gombak,2.6
Selangor,Gombak,468.5
Selangor,Gombak,31.8
Selangor,Gombak,36.5
Selangor,Gombak,33.2
Selangor,Gombak,33.0
Selangor,Gombak,36.5
Selangor,Gombak,34.4
Selangor,Gombak,40.5
Selangor,Gombak,48.7
Selangor,Gombak,41.5
Selangor,Gombak,29.6
Selangor,Gombak,25.8
Selangor,Gombak,21.4
Selangor,Gombak,17.5
Selangor,Gombak,14.3
Selangor,Gombak,11.2
Selangor,Gombak,7.7
Selangor,Gombak,2.9
Selangor,Gombak,1.9
Selangor,Klang,1174.9
Selangor,Klang,85.5
Selangor,Klang,81.7
Selangor,Klang,73.9
Selangor,Klang,75.6
Selangor,Klang,101.5
Selangor,Klang,103.0
Selangor,Klang,105.7
Selangor,Klang,116.7
Selangor,Klang,101.4
Selangor,Klang,74.4
Selangor,Klang,63.7
Selangor,Klang,52.5
Selangor,Klang,43.6
Selangor,Klang,36.5
Selangor,Klang,28.0
Selangor,Klang,17.6
Selangor,Klang,7.3
Selangor,Klang,6.2
Selangor,Klang,651.3
Selangor,Klang,44.6
Selangor,Klang,42.3
Selangor,Klang,38.8
Selangor,Klang,40.0
Selangor,Klang,62.9
Selangor,Klang,66.3
Selangor,Klang,62.2
Selangor,Klang,63.9
Selangor,Klang,55.2
Selangor,Klang,41.2
Selangor,Klang,34.2
Selangor,Klang,27.8
Selangor,Klang,23.0
Selangor,Klang,18.8
Selangor,Klang,14.3
Selangor,Klang,8.2
Selangor,Klang,3.7
Selangor,Klang,3.8
Selangor,Klang,523.5
Selangor,Klang,40.9
Selangor,Klang,39.4
Selangor,Klang,35.0
Selangor,Klang,35.6
Selangor,Klang,38.7
Selangor,Klang,36.7
Selangor,Klang,43.5
Selangor,Klang,52.8
Selangor,Klang,46.2
Selangor,Klang,33.3
Selangor,Klang,29.6
Selangor,Klang,24.7
Selangor,Klang,20.5
Selangor,Klang,17.6
Selangor,Klang,13.7
Selangor,Klang,9.4
Selangor,Klang,3.6
Selangor,Klang,2.4
Selangor,Kuala Langat,326.3
Selangor,Kuala Langat,28.6
Selangor,Kuala Langat,25.2
Selangor,Kuala Langat,23.7
Selangor,Kuala Langat,23.1
Selangor,Kuala Langat,26.1
Selangor,Kuala Langat,24.9
Selangor,Kuala Langat,27.3
Selangor,Kuala Langat,32.1
Selangor,Kuala Langat,28.0
Selangor,Kuala Langat,20.7
Selangor,Kuala Langat,17.4
Selangor,Kuala Langat,14.2
Selangor,Kuala Langat,11.6
Selangor,Kuala Langat,9.0
Selangor,Kuala Langat,7.2
Selangor,Kuala Langat,4.4
Selangor,Kuala Langat,1.7
Selangor,Kuala Langat,1.3
Selangor,Kuala Langat,171.3
Selangor,Kuala Langat,14.9
Selangor,Kuala Langat,12.9
Selangor,Kuala Langat,12.4
Selangor,Kuala Langat,11.9
Selangor,Kuala Langat,14.5
Selangor,Kuala Langat,14.0
Selangor,Kuala Langat,14.4
Selangor,Kuala Langat,16.4
Selangor,Kuala Langat,14.5
Selangor,Kuala Langat,11.1
Selangor,Kuala Langat,9.1
