date,rail_mrt_kajang,rail_mrt_pjy,rail_lrt_kj,rail_lrt_ampang,rail_monorail,bus_rkl
2023-09-30,153374,70166.0,163281,117356,49665,136982.0
2023-10-01,130337,58121.0,130356,102970,43405,132583.0
2023-10-02,207806,116341.0,236388,159335,53139,197170.0
2023-10-03,218968,123156.0,256508,164939,53590,214822.0
2023-10-04,223461,124847.0,260010,165967,53911,215891.0
2023-10-05,220672,122200.0,256480,164723,54863,216309.0
2023-10-06,223259,119597.0,249901,168200,58543,210951.0
2023-10-07,162195,72613.0,149888,117280,49072,152410.0
2023-10-08,139692,62219.0,131443,104194,45088,150520.0
2023-10-09,212177,118494.0,238280,160677,53553,215260.0
2023-10-10,219206,122459.0,257111,163932,54416,214916.0
2023-10-11,222963,123326.0,259229,164959,54761,218530.0
2023-10-12,216843,122140.0,255148,161817,53359,218735.0
2023-10-13,227614,125479.0,254238,197735,57231,217182.0
2023-10-14,156597,72343.0,147492,111920,46244,152043.0
2023-10-15,133737,60683.0,125136,98380,41828,142189.0
2023-10-16,211664,119733.0,242090,161959,52511,216158.0
2023-10-17,223358,126318.0,257936,187016,54061,218465.0
2023-10-18,225107,126348.0,263026,167017,54989,223044.0
2023-10-19,221843,124608.0,260680,166233,55572,218519.0
2023-10-20,222792,121760.0,254227,167968,57816,214167.0
2023-10-21,154097,72141.0,146632,112580,45281,147371.0
2023-10-22,135134,61350.0,133302,102503,41331,141782.0
2023-10-23,209230,119745.0,241915,160945,53884,214192.0
2023-10-24,222391,125597.0,259416,169839,56513,220406.0
2023-10-25,225776,126379.0,262082,165138,57709,222492.0
2023-10-26,222732,124290.0,257185,164608,57354,220487.0
2023-10-27,220655,122665.0,250659,165783,60189,215045.0
2023-10-28,161488,79580.0,168030,115211,48649,153172.0
2023-10-29,133218,60780.0,129694,98246,41459,137132.0
2023-10-30,210083,118934.0,236468,158224,55086,211987.0
2023-10-31,222064,125416.0,253988,163126,57028,217217.0
2023-11-01,228310,128264.0,260585,166517,57820,222202.0
2023-11-02,224221,126047.0,254647,164381,58274,220954.0
2023-11-03,226627,123105.0,248645,167152,59913,215206.0
2023-11-04,161983,75725.0,150292,119716,49301,155741.0
2023-11-05,138307,62474.0,129068,104440,45456,147625.0
2023-11-06,213142,121885.0,241351,162582,55950,217498.0
2023-11-07,226412,128837.0,261146,168981,59216,221617.0
2023-11-08,233012,130169.0,265948,172189,59150,228618.0
2023-11-09,229465,129030.0,260325,171653,59143,228881.0
2023-11-10,231094,125915.0,250724,175560,61061,219109.0
2023-11-11,175168,77321.0,162248,125150,58189,171046.0
2023-11-12,176579,73681.0,165194,118480,65967,189925.0
2023-11-13,145236,65333.0,134013,101664,46834,132144.0
2023-11-14,208500,112376.0,232587,152628,55153,193438.0
2023-11-15,222189,123672.0,249036,162135,57107,210302.0
2023-11-16,220302,124752.0,247627,173089,56599,213699.0
2023-11-17,217589,120289.0,238037,160067,57383,209492.0
2023-11-18,155312,74150.0,145501,112646,46432,153562.0
2023-11-19,130333,59509.0,123975,96012,41568,144103.0
2023-11-20,212391,125038.0,241405,160409,55532,220081.0
2023-11-21,225020,131249.0,260150,165504,58940,225885.0
2023-11-22,235772,139113.0,272525,250614,62450,222230.0
2023-11-23,229179,130845.0,263220,168627,62398,222371.0
2023-11-24,232343,130708.0,260425,170630,62591,224005.0
2023-11-25,167477,79434.0,156854,118685,51628,152673.0
2023-11-26,143060,64832.0,133373,102424,46357,148978.0
2023-11-27,216086,125997.0,244234,161414,56140,218024.0
2023-11-28,228154,132983.0,259900,166671,59051,220515.0
2023-11-29,243952,140546.0,263619,166895,58403,224901.0
2023-11-30,236369,137403.0,253598,165275,59321,220509.0
2023-12-01,247693,140846.0,248375,168552,61845,218606.0
2023-12-02,210683,102086.0,156112,121162,52745,154708.0
2023-12-03,182682,86778.0,134888,107791,49677,150965.0
2023-12-04,225714,129915.0,240874,158852,57278,216708.0
2023-12-05,234592,135152.0,251648,162829,58059,219798.0
2023-12-06,240022,136859.0,260962,166493,59617,222373.0
2023-12-07,237908,136029.0,257507,165729,60404,221706.0
2023-12-08,246761,141735.0,263425,243298,67467,226631.0
2023-12-09,198646,94783.0,160538,137022,55417,162397.0
2023-12-10,189157,92218.0,146307,129807,55027,156771.0
2023-12-11,228886,129587.0,215770,151346,60232,185599.0
2023-12-12,229422,134679.0,250993,163424,58386,218665.0
2023-12-13,232067,134295.0,252973,161783,55103,223170.0
2023-12-14,228167,130374.0,243813,159575,55364,220466.0
2023-12-15,231037,131139.0,238620,169157,57597,216371.0
2023-12-16,187170,88673.0,149150,117347,50605,157848.0
2023-12-17,174998,81925.0,136255,107590,50449,155188.0
2023-12-18,221001,125784.0,231376,154378,58056,208852.0
2023-12-19,229228,130286.0,243310,157400,58686,208038.0
